id,name,salary,bonus,hiring_year,dismissing_year
0,Morgan-Diaz,18887.79,5661.19,2005,2016
1,Maxwell-Young,7025.62,6840.47,2010,2014
2,Walter-Shaw,22218.75,5251.2,1997,1997
3,John-Wolfe,8334.15,4022.56,2008,2008
4,Ronald-Taylor,15861.36,3577.68,2005,2008
5,Kaitlyn-Walton,19415.74,5524.82,1998,1999
6,Meredith-Ho,4599.76,3113.08,2022,2023
7,Cassidy-Martinez,26292.66,2724.72,1990,1998
8,Theresa-Soto,28018.11,292.6,1990,2005
9,Walter-Hill,9054.49,4766.51,2005,2022
10,Bobby-Hale,2612.71,1072.86,2023,2023
11,Antonio-Jones,6079.03,5064.01,2011,2022
12,Aaron-Perez,19041.46,1382.79,2005,2007
13,Sara-Coffey,5467.54,2587.53,2011,2012
14,Annette-Howell,24846.84,3511.2,1990,2000
15,Kristy-Wolfe,31218.17,265.16,1990,2015
16,Paul-Murphy,7351.41,3307.3,2009,2018
17,Lucas-Mcdonald,9506.68,2965.39,2005,2012
18,Savannah-Guerrero,30060.95,5446.19,1990,2019
19,Carrie-Banks,5301.57,3326.66,2020,2022
20,Tina-Walton,4150.86,2482.88,2023,2023
21,Todd-Diaz,8546.07,100.98,2005,2020
22,Juan-Ho,33530.25,642.09,1990,1999
23,Brianna-Serrano,23272.99,4834.91,1996,2015
24,Juan-Bates,24137.44,2913.83,1990,1998
25,Nicole-Morris,26146.22,1551.3,1990,2002
26,Stephanie-Wilkinson,31393.68,564.84,1990,2021
27,Alice-Allen,30695.32,4399.26,1990,1998
28,Angel-Thomas,23126.41,2833.95,1997,2003
29,Sandra-Costa,16312.1,3876.23,2005,2005
30,Natalie-Fox,23360.59,4614.25,1990,2006
31,Manuel-Riley,5153.27,606.79,2020,2022
32,Sara-Flores,4429.61,873.68,2023,2023
33,Nichole-Gallagher,8182.77,2981.99,2009,2012
34,Lydia-Elliott,7619.71,4404.05,2009,2016
35,Teresa-Christensen,36794.98,915.66,1990,2017
36,Michele-Hunt,7034.36,3915.38,2009,2023
37,Jackie-Brown,7025.4,6855.51,2011,2013
38,Alexandra-Christian,7631.04,4103.69,2009,2016
39,Francis-Peterson,14768.82,305.45,2005,2012
40,Timothy-Young,23236.52,3619.04,1996,1998
41,Madison-Smith,20876.83,3250.98,1998,2010
42,Beverly-Hill,8353.04,356.09,2005,2005
43,Dana-Walton,8676.24,6425.87,2005,2009
44,Luis-Rhodes,33252.44,5356.28,1990,2002
45,John-Robinson,37060.53,5495.28,1990,2007
46,Briana-Baker,8481.73,2194.84,2005,2006
47,John-Young,30354.17,5481.02,1990,1999
48,Barbara-Oneill,21374.74,5320.9,1998,2014
49,Ana-Robinson,19153.3,3797.57,2001,2022
50,Shelley-Sexton,16781.48,5209.91,2005,2010
51,Alicia-Herrera,24653.48,2033.68,1990,2023
52,Luis-Watson,29317.02,106.75,1990,2014
53,Johnathan-Gray,22742.68,3647.19,1997,2007
54,Kevin-Odom,36303.86,6749.88,1990,2021
55,Alexander-Patel,19358.99,4121.46,1998,2004
56,Manuel-Taylor,20327.82,4584.57,1998,2017
57,Nichole-Gibson,28593.01,5233.12,1990,2023
58,Jesse-Davis,11579.01,1282.21,2005,2012
59,Randall-Gray,22130.63,6862.64,1998,2022
60,Rodney-Hayes,34197.4,4574.97,1990,1998
61,Kaitlyn-Patel,22619.87,2496.8,1997,2020
62,Maxwell-Martin,16824.38,4752.88,2005,2022
63,Kimberly-Herrera,12981.32,1154.92,2005,2016
64,Candace-Bennett,17236.72,5813.73,2005,2023
65,Christina-Dixon,29045.89,3098.94,1990,2003
66,Douglas-Smith,34192.08,387.59,1990,2002
67,Renee-Palmer,19864.34,4937.53,1998,2023
68,Alison-Williams,3860.45,2860.56,2023,2023
69,Amber-Soto,17091.53,2744.19,2005,2010
70,Dean-Malone,11868.84,3431.35,2005,2011
71,Sonya-King,32303.84,1651.42,1990,1997
72,Randy-Brown,34936.71,1896.12,1990,2023
73,Alexa-Rhodes,28986.52,355.34,1990,2022
74,Alexa-Diaz,17198.25,6632.87,2005,2010
75,Gwendolyn-Rice,5305.97,4727.95,2015,2017
76,Betty-Costa,4959.54,1094.55,2022,2023
77,Robert-Allen,27854.29,5993.85,1990,2014
78,Rachel-Bates,31362.55,6877.81,1990,2020
79,Edwin-Wong,29439.63,111.95,1990,2006
80,Kenneth-Wolfe,7245.91,5910.32,2009,2018
81,Tiffany-Newman,15879.26,6577.13,2005,2018
82,Stacie-Mcdonald,14008.29,5800.77,2005,2018
83,Joel-Weaver,36507.46,2150.46,1990,2021
84,Cindy-Rice,11083.09,3868.29,2005,2018
85,Alice-Soto,25014.35,436.3,1990,2015
86,Christopher-Gibson,7062.66,3230.89,2009,2015
87,Allen-Hunt,20085.54,6039.03,1998,2000
88,Eric-Walker,18393.76,3938.99,2005,2018
89,Jay-Harrison,15893.3,3949.12,2005,2012
90,Jared-Alvarez,23276.83,2742.27,1990,2003
91,Nicholas-Marsh,18139.58,6179.3,2005,2021
92,Jamie-Hayes,29031.97,6024.04,1990,1999
93,Luis-Kaiser,8958.7,5455.15,2005,2011
94,Sabrina-Fox,11400.35,6431.95,2005,2012
95,Crystal-Flores,21276.18,4637.15,1998,2021
96,Mary-King,20286.03,4714.81,1998,2010
97,Jackie-Phillips,24682.19,4032.66,1990,2020
98,Yvette-Peterson,34142.51,3230.53,1990,2008
99,Veronica-Watson,16200.08,1097.14,2005,2011
100,Tyler-Elliott,19093.21,3904.56,2001,2016
101,Bruce-Green,34124.11,2605.42,1990,2006
102,Jackie-Stevenson,23561.26,4677.33,1990,2014
103,Melissa-Fox,35644.96,2219.02,1990,2022
104,Darius-Mcdonald,35360.2,3230.75,1990,2008
105,Gregg-Oneill,28075.35,1902.28,1990,2004
106,Deanna-Malone,11708.14,2294.68,2005,2019
107,Monica-Kaiser,3695.96,1204.51,2023,2023
108,Dylan-Flores,15924.36,2256.59,2005,2019
109,Amanda-Woods,9834.71,2166.96,2005,2012
110,Kevin-Gordon,9054.71,6004.77,2005,2012
111,Denise-Harrison,24423.17,4270.45,1990,2006
112,Mary-Bates,28404.26,3026.25,1990,2006
113,Natalie-Martinez,20690.33,1496.39,1998,2001
114,Sheryl-Patel,28341.97,302.23,1990,2021
115,Catherine-Oneill,36446.63,119.67,1990,2000
116,Kathryn-Davis,28421.24,4839.15,1990,1996
117,Justin-Howell,4769.11,3943.1,2022,2023
118,Christopher-Baker,1915.71,1528.74,2023,2023
119,Joseph-Oneill,29208.79,2540.57,1990,1997
120,Justin-Benson,21372.22,5169.5,1998,2012
121,Madison-Alvarez,31783.73,5750.27,1990,1997
122,Pamela-Watts,20171.56,6686.04,1998,2006
123,Shelley-Smith,37249.11,2631.04,1990,2010
124,Amanda-Kaiser,10021.27,2846.03,2005,2010
125,Mary-Mcintyre,9370.83,6360.03,2005,2021
126,Chad-Barker,16820.67,3841.68,2005,2008
127,Martha-Fox,35526.16,734.22,1990,1992
128,Cory-Brown,5331.92,5111.07,2012,2014
129,Jacob-Howell,35008.63,5797.85,1990,2010
130,Patrick-Phillips,5799.91,4453.46,2011,2012
131,Sierra-Pena,21078.97,164.02,1998,1998
132,Heather-Pena,5372.76,3672.88,2011,2017
133,Melanie-Morrow,10853.34,3110.91,2005,2021
134,Cheryl-Costa,20793.43,5208.01,1998,2000
135,Anita-Baker,7233.19,6118.35,2009,2023
136,Anna-Hunt,34165.82,1077.14,1990,2015
137,Brenda-Serrano,8350.3,6908.42,2006,2023
138,Tonya-Gray,30952.19,3412.77,1990,2007
139,Mary-Martin,32957.68,3247.26,1990,2012
140,Albert-Brown,11808.46,2417.18,2005,2021
141,Kimberly-Pena,4646.59,3517.81,2022,2023
142,Ana-Bennett,23627.9,6389.81,1990,2017
143,Grant-Allen,20324.8,2829.89,1998,2002
144,Rodney-Wong,22621.75,2118.18,1997,2015
145,Jeffrey-Wong,30608.01,311.19,1990,2021
146,Martha-Morrow,19793.92,2579.77,1998,2001
147,Corey-Cook,27440.96,3965.14,1990,2011
148,Joel-Munoz,34662.69,5275.42,1990,2004
149,Ashley-Munoz,3216.93,1173.32,2023,2023
150,Sierra-Gonzalez,23283.25,1324.44,1990,1998
151,David-Gordon,25758.17,898.4,1990,1997
152,Samantha-Weaver,22215.4,5853.25,1997,2011
153,Travis-Rodriguez,8207.85,397.44,2008,2010
154,Julie-Ho,21884.21,2163.35,1998,1998
155,Michelle-Mitchell,20950.4,1626.48,1998,2011
156,Nichole-Watson,29574.33,2716.92,1990,1994
157,Derek-Palmer,30991.66,1979.26,1990,2010
158,Tara-Elliott,17416.42,857.1,2005,2009
159,John-Bates,7545.04,2282.89,2009,2019
160,Cassandra-Jones,5114.91,1080.96,2021,2022
161,Johnathan-Parks,11862.61,5340.94,2005,2017
162,Grant-Serrano,25973.99,1364.7,1990,1999
163,Charles-Martin,5805.77,3171.89,2011,2019
164,Parker-Murphy,6766.72,1131.18,2011,2011
165,Carrie-Brown,37004.79,2712.65,1990,2002
166,Shelby-Odom,26456.52,6670.23,1990,2011
167,Seth-Rose,18935.66,4980.41,2005,2008
168,Wayne-Morris,8294.77,3419.07,2008,2020
