id,name,salary,bonus,hiring_year,dismissing_year
0,Rhonda-Martinez,35493.8,878.28,2011,2020
1,Edwin-Perez,17864.59,6162.69,2016,2023
2,Mary-Marsh,37396.21,627.15,1998,2019
3,Latoya-Walton,36088.16,5853.59,2003,2006
4,Olivia-Mathis,11644.16,4107.24,2020,2021
5,Sabrina-Fernandez,23657.09,2802.1,2011,2022
6,Jimmy-Taylor,20171.89,4649.62,2012,2016
7,Donald-Arias,7400.26,2688.31,2020,2023
8,Ann-Costa,3694.56,2131.21,2022,2022
9,Douglas-Johnson,15517.31,2826.54,2019,2021
10,Jennifer-Bennett,18309.27,5073.47,2012,2016
11,Denise-Thomas,26426.93,1737.64,2011,2012
12,Jessica-Morrow,23228.16,1413.62,2011,2018
13,Jamie-Martin,4020.98,239.55,2021,2023
14,Jared-Garrett,9356.28,271.03,2020,2020
15,Brenda-Wolfe,17184.56,3527.91,2017,2023
16,Sheryl-Riley,7388.67,3950.43,2020,2023
17,Jose-Harrison,14760.02,3412.26,2020,2022
18,Randall-Morris,22230.37,6684.7,2011,2015
19,Tammy-Taylor,7292.49,2800.96,2021,2021
20,Brenda-Rice,20346.97,1646.19,2011,2022
21,Rachel-Morris,16526.97,6030.63,2018,2023
22,Elizabeth-Weber,4972.29,298.15,2021,2023
23,Diane-Mcdonald,36562.61,3563.98,1998,2021
24,Courtney-Watts,23733.42,1860.69,2011,2014
25,Troy-Phillips,36325.61,1120.45,2001,2021
26,Johnathan-Rhodes,7317.86,1280.79,2021,2022
27,Arthur-Rhodes,8450.49,5255.98,2020,2023
28,Melanie-Diaz,21698.47,3841.88,2011,2016
29,Angel-Flores,12267.55,241.83,2020,2021
30,Matthew-Bates,22064.12,6969.32,2011,2019
31,Brianna-Hunt,35552.8,3719.53,2011,2014
32,Joseph-Herrera,35669.61,1805.16,2009,2021
33,Jackie-Christian,15198.75,5399.61,2019,2020
34,Tiffany-King,35070.86,6796.84,2011,2017
35,Yvonne-Sexton,2577.74,2392.36,2023,2023
36,Ronald-Rice,30251.05,4525.41,2011,2016
37,Brian-Wong,35948.88,1268.37,2005,2007
38,Kim-Banks,23470.27,4943.09,2011,2023
39,Allison-Miller,15759.63,420.58,2019,2020
40,Darius-Rhodes,35744.97,6295.09,2008,2021
41,Bobby-Munoz,5910.1,3133.55,2021,2023
42,Audrey-Barker,30652.08,5615.76,2011,2022
43,Caroline-Woods,21029.23,2058.82,2011,2013
44,Alexander-Trevino,13579.86,3497.65,2020,2021
45,Lucas-Jones,25565.3,4217.47,2011,2017
46,Melanie-White,8834.68,2518.02,2020,2020
47,Henry-Smith,28893.0,6647.07,2011,2019
48,Julia-Garrett,37436.82,2894.87,1996,2012
49,Tracy-Smith,18213.41,1851.9,2015,2022
50,Dana-Serrano,3757.23,2178.41,2022,2022
51,Randy-Green,34673.16,4733.18,2011,2012
52,Stacie-Hale,25833.15,5474.61,2011,2014
53,Audrey-Cook,30015.8,1173.4,2011,2019
54,Charles-Davis,24783.25,4514.04,2011,2013
55,Candace-Young,22481.86,6076.11,2011,2011
56,Alice-Hunt,29805.67,5807.76,2011,2022
57,Jackie-Mathis,37711.68,3706.68,1996,2008
58,Marie-Howell,37603.05,527.01,1996,2018
59,Jamie-Anderson,35478.38,2170.15,2011,2017
60,Tyler-Hale,32191.15,2036.11,2011,2014
61,Caroline-Mcdonald,18564.7,6659.73,2012,2021
62,Steven-Morris,26305.49,1793.92,2011,2018
63,Gina-Hicks,19457.29,3531.26,2012,2022
64,Johnny-Stevenson,24793.92,6378.97,2011,2012
65,Alyssa-Wilkinson,36552.22,2623.27,2001,2002
66,Brian-Bennett,23471.97,3814.73,2011,2018
67,Edward-Baker,10988.4,3330.05,2020,2023
68,Christine-Costa,15724.97,6013.87,2019,2019
69,Nicole-Taylor,16249.33,1068.84,2018,2018
70,Sonya-Hale,12595.59,2341.7,2020,2022
71,Toni-Rose,14036.4,1687.29,2020,2021
72,Meredith-Trevino,25451.23,5910.43,2011,2013
73,Tracy-Gallagher,7850.8,5002.61,2020,2020
74,Anna-Perez,14381.19,4208.41,2020,2020
75,Kristen-Morrow,18884.7,6795.78,2012,2023
76,Leah-Harrison,13939.58,6737.76,2020,2022
77,Kim-Murphy,33930.88,272.13,2011,2018
78,Wanda-Bennett,36982.32,258.59,1998,2019
79,Gabrielle-Barker,22643.33,1113.65,2011,2012
80,Brandon-King,14905.76,5884.99,2019,2022
81,Kelly-Morris,7784.47,5025.52,2020,2021
82,Samantha-Hale,2931.93,2924.48,2023,2023
83,Parker-Riley,14247.29,3867.38,2020,2021
84,Candace-Marsh,12623.15,2983.63,2020,2023
85,Cassidy-Lindsey,3595.68,2058.32,2022,2023
86,Kenneth-Gallagher,25141.85,6804.34,2011,2017
87,Thomas-Johnson,12874.26,5286.68,2020,2023
88,Candace-Stevenson,29109.6,513.18,2011,2016
89,Taylor-Benson,36206.37,2134.23,2003,2019
90,Sierra-Rose,9325.87,3039.27,2020,2021
91,Amanda-Shaw,21587.49,1585.67,2011,2017
