id,name,salary,bonus,hiring_year,dismissing_year
0,Craig-Anderson,30172.75,3780.65,2012,2015
1,Angie-Howell,17787.12,1119.44,2022,2022
2,Johnathan-Shaw,10469.3,6006.9,2005,2017
3,Lauren-Williams,21037.09,6513.07,1994,2013
4,Margaret-Hicks,9499.43,6569.06,2013,2015
5,Katherine-Miller,4742.21,4520.92,2007,2021
6,Dylan-Rose,4370.56,3713.94,2005,2023
7,Adrian-Ho,11494.85,5563.66,2003,2014
8,Lisa-Hicks,27827.46,4884.99,1991,1995
9,Anna-Dixon,16917.59,4225.76,2001,2007
10,John-Rice,24252.86,3122.94,1990,1992
11,Gregg-Arias,9748.89,4008.83,1998,2016
12,Vanessa-Patel,3140.56,1920.6,2013,2013
13,Danielle-Weaver,13956.25,2568.41,1997,2023
14,Walter-Williams,15076.8,1474.45,1996,2011
15,Katie-Miller,17158.21,6692.3,1990,2006
16,Vanessa-Trevino,6787.42,6330.34,2002,2018
17,Danielle-Shaw,12728.32,1836.74,1992,1997
18,Gregory-Alvarez,2106.57,1406.81,2007,2008
19,Briana-Rhodes,1460.27,461.79,2009,2009
20,Tammy-Gonzalez,31391.93,2213.96,1990,1990
21,Jamie-Mcintyre,6372.85,2407.31,1992,2023
22,Samuel-Bates,15867.35,5986.38,1991,2012
23,Emily-Gallagher,2775.82,950.33,2006,2019
24,Albert-Mcintyre,21365.09,908.55,1990,2015
25,Nicole-Weber,26549.28,2876.19,1990,2006
26,Gwendolyn-Woods,35100.92,6593.76,1990,2023
27,Brenda-Herrera,2753.76,508.79,1993,2017
28,Emily-Young,6348.01,3014.65,1993,2008
29,Gregory-Hester,27573.41,2728.0,1990,2013
30,Betty-Kaiser,25584.55,5485.98,1990,1997
31,Allison-Young,5375.18,4027.9,1993,2021
32,Erik-Allen,1961.02,814.73,1998,2012
33,Jasmine-Fox,3134.44,468.33,1991,2007
34,Jacob-Perez,31725.25,3558.17,1990,2020
35,Thomas-Harrison,10491.39,6478.97,1990,2003
